Assay_Plate_Barcode,Plate_Map_Name
BR00135823,control
BR00135824,JUMP-Target-2_compound_platemap
BR00135825,control
BR00135826,JUMP-Target-2_compound_platemap
BR00135827,S-B_REPO1_2020_004_1
BR00135828,S-B_REPO1_2020_004_1
BR00135829,S-B_REPO1_2020_004_1
BR00135830,S-B_REPO1_2020_004_1
BR00135831,S-B_REPO1_2020_004_1
BR00135832,S-B_REPO1_2020_005_1
BR00135833,S-B_REPO1_2020_005_1
BR00135834,S-B_REPO1_2020_005_1
BR00135835,S-B_REPO1_2020_005_1
BR00135836,S-B_REPO1_2020_005_1
BR00135837,S-B_REPO1_2020_006_1
BR00135838,S-B_REPO1_2020_006_1
BR00135839,S-B_REPO1_2020_006_1
BR00135840,S-B_REPO1_2020_006_1
BR00135841,S-B_REPO1_2020_006_1
BR00135842,S-B_REPO1_2020_007_1
BR00135843,S-B_REPO1_2020_007_1
BR00135844,S-B_REPO1_2020_007_1
BR00135845,S-B_REPO1_2020_007_1
BR00135846,S-B_REPO1_2020_007_1
