plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
S-B-REPO1_2020-006-1	A01				
S-B-REPO1_2020-006-1	A02				DMSO
S-B-REPO1_2020-006-1	A03	BRD-K79884267-001-01-4	2.84435699999999995	9.99999999999999993	DMSO
S-B-REPO1_2020-006-1	A04	BRD-K10843433-001-26-9	3.08374300000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A05	BRD-K32842773-304-06-2	4.73390199999999993	10	DMSO
S-B-REPO1_2020-006-1	A06	BRD-A45543382-001-11-9	7.89096000000000003	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A07	BRD-K99107520-001-29-9	2.382399	1E+1	DMSO
S-B-REPO1_2020-006-1	A08	BRD-K62685538-001-02-9	13.114487	1E+1	DMSO
S-B-REPO1_2020-006-1	A09	BRD-K71013094-065-05-3	7.12721999999999979	9.99999999999999999	DMSO
S-B-REPO1_2020-006-1	A10	BRD-K00004536-001-01-9	6.02632800000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A11	BRD-K88405679-001-04-9	2.863721	1E+1	DMSO
S-B-REPO1_2020-006-1	A12	BRD-K36368047-001-02-9	10.851454	1E+1	DMSO
S-B-REPO1_2020-006-1	A13	BRD-K53414658-001-02-5	4.54862999999999998	9.99999999999999997	DMSO
S-B-REPO1_2020-006-1	A14	BRD-K92213669-001-02-9	6.93720399999999998	9.99999999999999997	DMSO
S-B-REPO1_2020-006-1	A15	BRD-K01826024-001-01-9	3.08908616402521108	9.98265981836270551	DMSO
S-B-REPO1_2020-006-1	A16	BRD-K51937257-001-02-9	4.63611700000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A17	BRD-A76661185-300-02-4	7.68755999999999971	9.99999999999999999	DMSO
S-B-REPO1_2020-006-1	A18	BRD-K74363950-004-02-9	5.65563000000000002	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A19	BRD-A25234499-001-21-9	2.322783	1E+1	DMSO
S-B-REPO1_2020-006-1	A20	BRD-A54275602-001-01-0	3.19831999999999995	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A21	BRD-K05446112-001-02-9	8.88999900000000002	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	A22	BRD-K00003579-001-01-9	6.04709999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-006-1	A23				
S-B-REPO1_2020-006-1	A24				DMSO
S-B-REPO1_2020-006-1	B01				
S-B-REPO1_2020-006-1	B02				DMSO
S-B-REPO1_2020-006-1	B03	BRD-K59058747-001-20-9	1.63194999999996873	9.99999999999980882	DMSO
S-B-REPO1_2020-006-1	B04	BRD-A57133233-003-12-9	3.00826000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	B05	BRD-K04394237-001-06-0	3.66493199999994111	9.99999999999983927	DMSO
S-B-REPO1_2020-006-1	B06	BRD-K88786763-003-03-9	2.07661	1E+1	DMSO
S-B-REPO1_2020-006-1	B07	BRD-K55044200-001-16-1	3.65403999999999996	10	DMSO
S-B-REPO1_2020-006-1	B08	BRD-K80036624-001-06-9	1.92043	1E+1	DMSO
S-B-REPO1_2020-006-1	B09	BRD-K72339976-065-04-7	6.21644000000000005	10.0162414039791446	DMSO
S-B-REPO1_2020-006-1	B10	BRD-A23072235-050-19-9	2.403434	1E+1	DMSO
S-B-REPO1_2020-006-1	B11	BRD-K25494650-003-01-8	3.45524550898536084	10.6434125160883104	DMSO
S-B-REPO1_2020-006-1	B12	BRD-K00003609-001-01-9	3.90354	1E+1	DMSO
S-B-REPO1_2020-006-1	B13	BRD-K09735259-001-01-3	8.82019885293031683	10.0000315786738336	DMSO
S-B-REPO1_2020-006-1	B14	BRD-A31521121-001-28-9	2.412405	1E+1	DMSO
S-B-REPO1_2020-006-1	B15	BRD-K88625236-001-07-5	6.16823499999999968	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	B16	BRD-K91315211-300-15-9	2.09116	1E+1	DMSO
S-B-REPO1_2020-006-1	B17	BRD-K61250553-003-32-2	5.13497999999987257	9.99999999999975091	DMSO
S-B-REPO1_2020-006-1	B18	BRD-K82236179-001-08-9	3.36295000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	B19	BRD-K36788280-001-04-6	4.34534106384001782	9.99992650536563296	DMSO
S-B-REPO1_2020-006-1	B20	BRD-K92428153-001-08-9	4.334947	1E+1	DMSO
S-B-REPO1_2020-006-1	B21	BRD-A21474126-001-01-6	1.79258800000000007	9.99999999999999995	DMSO
S-B-REPO1_2020-006-1	B22	BRD-A28856712-003-27-9	2.002795	1E+1	DMSO
S-B-REPO1_2020-006-1	B23				
S-B-REPO1_2020-006-1	B24				DMSO
S-B-REPO1_2020-006-1	C01				
S-B-REPO1_2020-006-1	C02				DMSO
S-B-REPO1_2020-006-1	C03	BRD-A17655518-001-24-4	2.06280799999996684	9.99999999999983927	DMSO
S-B-REPO1_2020-006-1	C04	BRD-K46839850-050-06-9	5.33570800000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	C05	BRD-K19742012-001-02-3	2.67303999999999974	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	C06	BRD-K48812570-001-04-9	5.88273000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	C07	BRD-K59715032-362-02-9	12.752529	1E+1	DMSO
S-B-REPO1_2020-006-1	C08	BRD-K24943235-001-02-9	7.66903000000000003	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	C09	BRD-K10845183-304-01-6	3.64587999999984388	9.99999999999957118	DMSO
S-B-REPO1_2020-006-1	C10	BRD-K00003590-314-01-9	6.95531000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-006-1	C11	BRD-A95602221-003-03-9	3.794937	1E+1	DMSO
S-B-REPO1_2020-006-1	C12	BRD-K85178109-304-04-9	6.284549	1E+1	DMSO
S-B-REPO1_2020-006-1	C13	BRD-K13238168-001-03-9	3.61391	1E+1	DMSO
S-B-REPO1_2020-006-1	C14	BRD-K97810537-001-15-9	5.21041999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-006-1	C15	BRD-K02729857-001-01-9	2.74562762752504054	10.0097618532056377	DMSO
S-B-REPO1_2020-006-1	C16	BRD-K37385792-003-03-9	5.35035	1E+1	DMSO
