Assay_Plate_Barcode,Plate_Map_Name
BR00135656,control
BR00135657,JUMP-Target-2_compound_platemap
BR00135658,control
BR00135659,JUMP-Target-2_compound_platemap
BR00135660,S-B_REPO1_2020_004_1
BR00135661,S-B_REPO1_2020_004_1
BR00135662,S-B_REPO1_2020_004_1
BR00135663,S-B_REPO1_2020_004_1
BR00135664,S-B_REPO1_2020_004_1
BR00135665,S-B_REPO1_2020_005_1
BR00135666,S-B_REPO1_2020_005_1
BR00135667,S-B_REPO1_2020_005_1
BR00135668,S-B_REPO1_2020_005_1
BR00135669,S-B_REPO1_2020_005_1
BR00135670,S-B_REPO1_2020_006_1
BR00135671,S-B_REPO1_2020_006_1
BR00135672,S-B_REPO1_2020_006_1
BR00135673,S-B_REPO1_2020_006_1
BR00135674,S-B_REPO1_2020_006_1
BR00135675,S-B_REPO1_2020_007_1
BR00135676,S-B_REPO1_2020_007_1
BR00135677,S-B_REPO1_2020_007_1
BR00135678,S-B_REPO1_2020_007_1
BR00135679,S-B_REPO1_2020_007_1
