plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
S-B-REPO1_2020-005-1	C17	BRD-K81855038-003-14-7	4.09458918917076831	10.6381150049383682	DMSO
S-B-REPO1_2020-005-1	C18	BRD-K17311468-050-01-7	4.41476999999999974	9.99999999999999997	DMSO
S-B-REPO1_2020-005-1	C19	BRD-K99919177-001-01-3	9.43079100000000036	9.99999999999999996	DMSO
S-B-REPO1_2020-005-1	C20	BRD-M41245765-341-06-9	2.85007999999999982	10.6747767723377473	DMSO
S-B-REPO1_2020-005-1	C21	BRD-K97197005-001-04-9	3.10429900000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C22	BRD-K43966364-237-06-9	3.90496	1E+1	DMSO
S-B-REPO1_2020-005-1	C23				
S-B-REPO1_2020-005-1	C24				DMSO
S-B-REPO1_2020-005-1	D01				
S-B-REPO1_2020-005-1	D02				DMSO
S-B-REPO1_2020-005-1	D03	BRD-K01825581-238-05-9	4.734393	1E+1	DMSO
S-B-REPO1_2020-005-1	D04	BRD-K56276053-001-01-8	2.69166200000000004	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D05	BRD-A90625545-001-03-9	4.68581800000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D06	BRD-A48938994-001-15-8	2.18289999999999992	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D07	BRD-A44090213-001-27-9	2.813059	1E+1	DMSO
S-B-REPO1_2020-005-1	D08	BRD-K65716359-001-04-7	2.7821429999999998	9.99999999999999999	DMSO
S-B-REPO1_2020-005-1	D09	BRD-K85883481-001-26-9	3.584281	1E+1	DMSO
S-B-REPO1_2020-005-1	D10	BRD-K74236708-001-02-7	2.33183600000000013	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D11	BRD-K60907894-003-24-9	3.47879000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D12	BRD-K71106091-001-09-5	3.65568342080664738	10.0097653520044602	DMSO
S-B-REPO1_2020-005-1	D13	BRD-K30468934-001-02-9	4.415167	1E+1	DMSO
S-B-REPO1_2020-005-1	D14	BRD-K67511046-003-16-9	3.65568342080664738	10.0476408833857314	DMSO
S-B-REPO1_2020-005-1	D15	BRD-K33681278-001-03-9	3.6787	1E+1	DMSO
S-B-REPO1_2020-005-1	D16	BRD-K42805893-001-08-9	4.99607299999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	D17	BRD-K39188321-001-14-9	3.924611	1E+1	DMSO
S-B-REPO1_2020-005-1	D18	BRD-K68188368-001-11-0	2.81187407519656687	10.2169345469086831	DMSO
S-B-REPO1_2020-005-1	D19	BRD-K08525451-003-07-9	4.21825	1E+1	DMSO
S-B-REPO1_2020-005-1	D20	BRD-K56429665-001-09-6	4.12610011905668997	10.0001287407940098	DMSO
S-B-REPO1_2020-005-1	D21	BRD-A94543220-001-26-9	3.103917	1E+1	DMSO
S-B-REPO1_2020-005-1	D22	BRD-A68997559-065-04-5	5.45605000000000018	10	DMSO
S-B-REPO1_2020-005-1	D23				
S-B-REPO1_2020-005-1	D24				DMSO
S-B-REPO1_2020-005-1	E01				
S-B-REPO1_2020-005-1	E02				DMSO
S-B-REPO1_2020-005-1	E03	BRD-A55272860-001-18-9	3.41426	1E+1	DMSO
S-B-REPO1_2020-005-1	E04	BRD-A75552914-001-17-6	3.3533499999999998	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E05	BRD-K58736316-001-10-9	2.90268100000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E06	BRD-K72542090-304-04-0	2.90872000000000015	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E07	BRD-K57179821-001-17-9	2.032802	1E+1	DMSO
S-B-REPO1_2020-005-1	E08	BRD-K09968782-001-17-2	4.46576300000000004	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E09	BRD-K96550715-001-06-9	4.72542200000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E10	BRD-K86873305-236-19-6	5.40544999999999958	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	E11	BRD-A10039652-001-03-9	6.02663999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	E12	BRD-A67060370-001-04-5	2.81331000000000017	9.99999999999999999	DMSO
S-B-REPO1_2020-005-1	E13	BRD-K13514097-001-09-9	9.58224399999999991	9.99999999999999991	DMSO
S-B-REPO1_2020-005-1	E14	BRD-K28029915-066-04-9	4.20479	1E+1	DMSO
S-B-REPO1_2020-005-1	E15	BRD-A43809092-003-02-1	2.92244999999992029	9.99999999999972709	DMSO
S-B-REPO1_2020-005-1	E16	BRD-A02990301-003-07-4	2.95593000000000018	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E17	BRD-K44184170-001-01-7	3.78891000000000019	9.99999999999999999	DMSO
S-B-REPO1_2020-005-1	E18	BRD-K01826512-003-12-9	2.898	1E+1	DMSO
S-B-REPO1_2020-005-1	E19	BRD-K46843573-001-01-9	9.66210000000000036	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E20	BRD-K27351809-001-11-9	3.70481900000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	E21	BRD-K00003606-380-01-9	2.99964	1E+1	DMSO
S-B-REPO1_2020-005-1	E22	BRD-A18627414-001-06-4	13.5637310000000002	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	E23				
S-B-REPO1_2020-005-1	E24				DMSO
S-B-REPO1_2020-005-1	F01				
S-B-REPO1_2020-005-1	F02				DMSO
S-B-REPO1_2020-005-1	F03	BRD-K00003572-001-01-9	4.42466600000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	F04	BRD-K54997624-001-06-0	4.41469999999986984	9.99999999999970455	DMSO
S-B-REPO1_2020-005-1	F05	BRD-K43883465-003-02-9	3.43889	1E+1	DMSO
S-B-REPO1_2020-005-1	F06	BRD-K06328344-015-01-7	10.8521654600160811	10.0000170104736705	DMSO
S-B-REPO1_2020-005-1	F07	BRD-K41185545-001-03-9	3.784211	1E+1	DMSO
S-B-REPO1_2020-005-1	F08	BRD-K82103381-003-09-4	1.96642795762705395	10.0002947442600017	DMSO
S-B-REPO1_2020-005-1	F09	BRD-K43586850-001-04-9	4.555433	1E+1	DMSO
S-B-REPO1_2020-005-1	F10	BRD-K65667145-001-14-0	2.15211399999996085	9.99999999999981818	DMSO
S-B-REPO1_2020-005-1	F11	BRD-A05515753-001-05-9	2.49307	1E+1	DMSO
