plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
S-B-REPO1_2020-007-1	A01				
S-B-REPO1_2020-007-1	A02				DMSO
S-B-REPO1_2020-007-1	A03	BRD-K01825118-065-05-9	2.393107	1E+1	DMSO
S-B-REPO1_2020-007-1	A04	BRD-K15656090-001-07-3	3.56053999999999973	9.99999999999999998	DMSO
S-B-REPO1_2020-007-1	A05	BRD-K33335792-001-05-9	2.93406	1E+1	DMSO
S-B-REPO1_2020-007-1	A06	BRD-A39172021-001-14-5	4.4746199999999999	10.0000000000000000	DMSO
S-B-REPO1_2020-007-1	A07	BRD-K50050533-001-05-9	3.26599999999999997	9.99999999999999991	DMSO
S-B-REPO1_2020-007-1	A08	BRD-K51474575-001-11-2	1.25147000000000006	10	DMSO
S-B-REPO1_2020-007-1	A09	BRD-K47289124-001-03-9	3.87903000000000002	10.0000000000000001	DMSO
S-B-REPO1_2020-007-1	A10	BRD-A80321291-001-06-5	3.5140100000000001	9.99999999999999999	DMSO
S-B-REPO1_2020-007-1	A11	BRD-K84698278-001-05-9	2.43301	1E+1	DMSO
S-B-REPO1_2020-007-1	A12	BRD-A78322124-003-18-1	3.37841000000000008	9.99999999999999999	DMSO
S-B-REPO1_2020-007-1	A13	BRD-K20141153-003-14-9	2.91816	1E+1	DMSO
S-B-REPO1_2020-007-1	A14	BRD-K33425534-001-12-5	2.96403399999982923	9.99999999999942464	DMSO
S-B-REPO1_2020-007-1	A15	BRD-K33588785-300-02-9	3.61224000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-007-1	A16	BRD-K56107812-001-01-7	9.88159611054790327	9.99998594414058420	DMSO
S-B-REPO1_2020-007-1	A17	BRD-K34469523-065-04-9	3.37389	1E+1	DMSO
S-B-REPO1_2020-007-1	A18	BRD-A38706605-001-01-2	3.60530100000000004	9.99999999999999999	DMSO
S-B-REPO1_2020-007-1	A19	BRD-K44942188-001-10-9	3.11418	1E+1	DMSO
S-B-REPO1_2020-007-1	A20	BRD-A43671941-003-11-9	3.01808999999989106	9.99999999999963818	DMSO
S-B-REPO1_2020-007-1	A21	BRD-K00004639-001-01-9	4.57603800000000002	10.0000000000000000	DMSO
S-B-REPO1_2020-007-1	A22	BRD-K68693535-001-03-4	2.20270900000000011	9.99999999999999997	DMSO
S-B-REPO1_2020-007-1	A23				
S-B-REPO1_2020-007-1	A24				DMSO
S-B-REPO1_2020-007-1	B01				
S-B-REPO1_2020-007-1	B02				DMSO
S-B-REPO1_2020-007-1	B03	BRD-K00003655-001-01-9	3.244565	1E+1	DMSO
S-B-REPO1_2020-007-1	B04	BRD-K79711234-001-20-9	3.56222000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-007-1	B05	BRD-K25394294-001-16-9	2.933166	1E+1	DMSO
